Event-Name,Event-Location,Event-Date,Event-Image,Event-Time,Event-Details
Film: COLETTE,The Addy at Proctors,"Nov 30 - Dec 06, 2018 ",https://tickets.proctors.org/TheatreManager/95/image?event=11906
Keith Lockhart & The Boston Pops On Tour,MainStage at Proctors,"Dec 03, 2018 ",https://tickets.proctors.org/TheatreManager/95/image?event=11373
Film: Bolshoi Ballet: LA SYLPHIDE,GE Theatre at Proctors,"Dec 04, 2018 ",https://tickets.proctors.org/TheatreManager/95/image?event=11337
Miss Bennet: Christmas at Pemberly,Capital Repertory Theatre,"Nov 23 - Dec 23, 2018 ",https://tickets.proctors.org/TheatreManager/95/image?event=10865
Dr. Seuss’ How the Grinch Stole Christmas! The Musical,MainStage at Proctors,"Dec 05 - Dec 09, 2018 ",https://tickets.proctors.org/TheatreManager/95/image?event=11282
Angelo Michael Mazzone Fundraiser,GE Theatre at Proctors,"Dec 06, 2018 ",https://tickets.proctors.org/TheatreManager/95/image?event=11921
The Gibson Brothers: North Country Christmas Show,GE Theatre at Proctors,"Dec 07, 2018 ",https://tickets.proctors.org/TheatreManager/95/image?event=11409
Turning of the Year Celtic Celebration:,GE Theatre at Proctors,"Dec 08, 2018 ",https://tickets.proctors.org/TheatreManager/95/image?event=11193
Lunch with Santa,Proctors Theatre,"Dec 09, 2018 ",https://tickets.proctors.org/TheatreManager/95/image?event=11776
Piff the Magic Dragon,GE Theatre at Proctors,"Dec 09, 2018 ",https://tickets.proctors.org/TheatreManager/95/image?event=11626
Film: National Theatre: MADNESS OF GEORGE III,GE Theatre at Proctors,"Dec 11, 2018 ",https://tickets.proctors.org/TheatreManager/95/image?event=11249
Film: KING COHEN,GE Theatre at Proctors,"Dec 12, 2018 ",https://tickets.proctors.org/TheatreManager/95/image?event=11892
The Best Christmas Pageant Ever,The Addy at Proctors,"Dec 12 - Dec 16, 2018 ",https://tickets.proctors.org/TheatreManager/95/image?event=11538
