Event-Name,Event-Details
Miss Bennet: Christmas at Pemberley - Capital Repertory Theatre,"<div class=""content""> <div class=""show-run""> <span>Tuesday, December 04, 2018</span> to <span>Sunday, December 23, 2018</span> </div> <p><strong>MISS BENNET: CHRISTMAS AT PEMBERLEY</strong></p> <p>By Lauren Gunderson and Margot Melcon<br/> Directed by Maggie Mancinelli-Cahill</p> <p>November 23 – December 23</p> <p>Spend the holiday season with your favorite <em>Pride and Prejudice</em> characters, as they gather at Pemberley, the stately home of Mr. and Mrs. Darcy. In this charmingly imagined sequel to Jane Austen’s masterwork, the ever-dependable Mary Bennet is growing tired of her role as dutiful middle sister in the face of her siblings’ romantic escapades. When the family visits for Christmas, an unexpected guest sparks Mary’s hopes for independence, an intellectual match — and possibly even love?  This unstuffy, highly entertaining and warm-spirited play will delight Austen aficionados and new-comers alike — just the kind of experience multiple generations can enjoy together!</p> <h2>Special Events</h2> <p><strong>November 27: Opening Night</strong><br/> Stay after the show for desserts from Bella Napoli and a champagne (or ginger ale) toast with the cast and crew!</p> <p><strong>December 1: English Country Dance Demonstration</strong><br/> English Country Dance was featured at balls in Jane Austen’s time and still thrives today in the Capital Region thanks to the Capital English Country Dancers. The live music is beautiful, the basic steps are simple and the flowing dance patterns are delightful. Experience this with dance demonstrations by the English Country Dancer on December 1 at 1:45 p.m. or 6:45 p.m. prior to performances of Miss Bennet: Christmas at Pemberley. Audience participation is encouraged, join the fun! For more information on the English Country Dancers <strong><a href=""http://www.danceflurry.org/events_all_dances.php#english"">click here</a></strong></p> <p><strong>December 4: Chef’s Table Night</strong><br/> Hello, delicious. Enjoy complimentary light fare before the show provided by Yono’s– one of the best-kept secrets in town!</p> <p><strong>December 5: Pre-show Discussion Night</strong><br/> Dr. David Shapard will host a pre-show discussion on Jane Austen. Come at 6:30 p.m. for this 25-minute open discussion and join the conversation! David M. Shapard is the author of The Annotated Pride and Prejudice, The Annotated Emma, The Annotated Mansfield Park, The Annotated Northanger Abbey, The Annotated Persuasion and The Annotated Sense and Sensibility. He has a doctorate in European History and has spoken about Jane Austen before numerous groups. Next year he will lead his second tour of England related to Jane Austen.</p> <p><strong>December 16: Behind the Scenes</strong><br/> A pre-show discussion with Producing Artistic Director Maggie Mancinelli-Cahill and <strong>special guest Dr. David Shapard</strong> at 12:30 p.m. and includes a light continental breakfast.</p> <p><strong>Holiday Raffle</strong><br/> Coming to Miss Bennet? Enter our holiday raffle! Win one of four amazing prizes. All proceeds benefit the School of the Performing Arts at theREP. Raffle tickets are only available at the box office.<br/> <strong>1 ticket</strong> – $5.00 <br/> <strong>5 tickets</strong>  – $20.00<br/> <strong>Drawing:</strong> Sunday, December 23rd, 2018</p> <p><strong>First Prize</strong><br/> <a href=""https://www.cafecapriccio.com/"" rel=""noopener"" target=""_blank"">Cafe Cappricio</a> Private Chef’s Table – <strong>Value $1,500</strong></p> <p><strong>Second Prize</strong><br/> <a href=""http://www.albanywinefest.com/index.php"" rel=""noopener"" target=""_blank"">Albany Wine &amp; Dine</a> Celebration Tasting – <strong>Value $450</strong></p> <p><strong>Third Prize</strong><br/> One-night stay at <a href=""https://www.yalemanor.com/"">Yale Manor</a> at Copper Beeches Bed &amp; Breakfast – <strong>Value $250</strong></p> <p><strong>Fourth Prize</strong><br/> Two “A” section tickets for <em><a href=""https://www.proctors.org/event/the-phantom-of-the-opera-2-2/"">The Phantom of the Opera</a> </em>at Proctors – <strong>Value $150</strong></p> <p>For information,  email <a href=""http://mail to:mtocin@proctors.org"">Molly Tocin</a>.</p> </div>"
"Film: NORTH POLE, NY","<div class=""content"">
<div class=""show-run"">
<span>Saturday, December 15, 2018</span> </div>
<div> </div>
<div class=""x_gmail_default""><strong>NORTH POLE, NY</strong></div>
<div> </div>
<div class=""x_gmail_default"">Santa is alive and well in upstate New York!  Or is he?  Filmmakers Ali Cotterill and Christa Orth arrive at Proctors to share and discuss their new film, a documentary about <em>Santa’s Workshop</em>, a roadside attraction nestled away in the tiny Adirondack town of North Pole, NY. Thought to be America’s oldest theme park, <em>Santa’s Workshop</em> does battle against a changing economy, the digital world, and a con-man who tries to steal Christmas, yet… the dreamers in this remarkable wonderland vow to keep the park open – and the magic of Christmas alive – all year.  Not rated.  69 minutes plus Q&amp;A w/filmmakers.</div>
<div> </div>
<div class=""x_gmail_default""><b>Saturday, December 15 at 6:30pm</b></div>
<div> </div>
<div class=""x_gmail_default"">$9 Adults; $6 Seniors, Students w/ID</div>
</div>"
Film: Bolshoi Ballet: CARMEN SUITE / PETRUSHKA,"<div class=""content"">
<div class=""show-run"">
<span>Tuesday, June 11, 2019</span> </div>
<p> </p>
<p><em>Bolshoi Ballet presents</em><br/>
<strong>CARMEN SUITE / PETRUSHKA</strong></p>
<p>Carmen is as sensual and free-spirited as ever as she finds herself caught in a love triangle.</p>
<p>The passionate one act ballet by Cuban choreographer Alberto Alonso, originally conceived for legendary Bolshoi prima ballerina Maya Plisetskaya, will captivate audiences alongside Petrushka, a new creation for the Bolshoi by contemporary choreographer Edward Clug. The double-bill event for cinemas encapsulates and showcases the soul of Russian Ballet. 140 minutes.</p>
<div class=""video embed-wrapper""><iframe allow=""autoplay; encrypted-media"" allowfullscreen="""" frameborder=""0"" height=""383"" src=""https://www.youtube.com/embed/QYANUX8iPAk?feature=oembed"" width=""680""></iframe></div>
<p><strong>Tuesday, June 11 at 2pm &amp; 7pm</strong><br/>
All Tickets: $15</p>
<p> </p>
</div>"
Currents by Mayumana,"<div class=""content"">
<div class=""show-run"">
<span>Sunday, March 10, 2019</span> </div>
<p>“…Non stop action pack…Part dance, part acrobatics, nothing like we ever saw.” —ABC News</p>
<p>“No dull moment, from the very first moment of the show the audience is spellbound… steaming spectacular rhythms… a must for your eyes, ears and your feeling!” —De Zondag, Belgium</p>
<p>“Show full of energy… extraordinary coordination between music and movement.” —Canela e hortela, Portugal</p>
<p>CURRENTS<br/>
‘Currents’ is a spectacular show that was inspired by the historical Battle of Currents between Thomas Edison and Nikola Tesla in their quest for finding energy sources for the world. Audience members will be taken on a journey between two troops, each representing a different view of the essence of light and electricity and each inspired by a different esthetic and artistic approach, all of which are presented as a dialogue, through unique sounds, lights, and visual effects. The show combines a variety of elements: specially made musical instruments, massive video art projections (including video mapping on the walls of the Old City of Jerusalem) and eleven skilled performers in constant movement, playing on different instruments and musically juggling between different sounds.</p>
<p>MAYUMANA<br/>
In 1996, Elyon Nuphar and Boaz Berman, driven by their deep love for percussion and music, created the first Mayumana show. From around the world, Berman and Nuphar gathered a small group of gifted performers, each with diverse talents and contrasting backgrounds. Sparked by their shared passion for rhythm and coordination, and fueled by their unique sense of humor and mischief, their group dynamic on stage was inexhaustible and infectious. Enriched by working with a multicultural cast, they inspired each other to fulfill the individual’s prowess in his/her area of expertise, while developing in all players the versatility to master other skills. This befits the name Mayumana, which comes from the Hebrew word for skill – Meyumanut. The power of each Mayumana creation comes from the strong emphasis placed on the unity and synchronization of the group as a whole. At the same time, the talent and beauty of the individual performer is highlighted and celebrated. Mayumana’s playfulness extends beyond the stage, reaching out to engage in direct interactions with its audiences of all ages and cultures. Sixteen years later with performers from more than 20 different nationalities, Mayumana has become one of Israel’s leading cultural exports. It has entertained millions of people around the world with its international touring cast, as well as in its home theatre, The Mayumana House, which is located at the old harbor of Jaffa.</p>
</div>"
The Best Christmas Pageant Ever,"<div class=""content"">
<div class=""show-run"">
<span>Wednesday, December 12, 2018</span> to <span>Sunday, December 16, 2018</span> </div>
<p class=""p1""><span class=""s1"">In this hilarious popular Christmas classic, a couple struggling to put on a church Christmas pageant is faced with casting the Herdman kids–probably the most inventively awful kids in history. You won’t believe the mayhem – and the fun – when the Herdmans collide with the Christmas story head on!</span></p>
<p class=""p1""><span class=""s1"">This delightful comedy is adapted from the best-selling Young Adult book, and has become a holiday staple! McCall’s Magazine has called it, “An American Classic.”</span></p>
<p class=""p1""><span class=""s1"">Laugh along with us as the neighborhood’s “worst children” bring out the best in the spirit and joy of Christmas!</span></p>
<p class=""p1""><span class=""s1"">Run Time: 90 minutes</span></p>
</div>"
Pretty Much the Best Comedy Show - Jun. 29th,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, June 29, 2019</span> </div>
<p><a href=""https://www.proctors.org/pmtbcs/"">Pretty Much The Best Comedy Show</a> includes a host, feature act, and guest comedians, providing nearly two hours of entertainment at the Capital Region’s premier alternative comedy room.</p>
<p>Upstate New York’s premiere stand-up showcase, Pretty Much the Best Comedy Show, has been thriving at Proctors since summer 2014, presenting a steady, diverse stream of talent to an ever-growing audience. </p>
<p>Check back soon to find out more information about our headlining comedian!</p>
</div>"
Pretty Much the Best Comedy Show - July 27th,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, July 27, 2019</span> </div>
<p><a href=""https://www.proctors.org/pmtbcs/"">Pretty Much The Best Comedy Show</a> includes a host, feature act, and guest comedians, providing nearly two hours of entertainment at the Capital Region’s premier alternative comedy room.</p>
<p>Upstate New York’s premiere stand-up showcase, Pretty Much the Best Comedy Show, has been thriving at Proctors since summer 2014, presenting a steady, diverse stream of talent to an ever-growing audience. </p>
<p>Check back soon to find out more information about our headlining comedian!</p>
</div>"
Hamilton,"<div class=""content""> <div class=""show-run""> <span>Tuesday, August 13, 2019</span> to <span>Sunday, August 25, 2019</span> </div> <h2>Tickets are currently not on sale, an on-sale date will be announced 2019.</h2> <p>Please note, no single ticket sales are available for this show. Currently, this show is only available as part of the 2018-2019 season Key Private Bank Broadway Series at Proctors and the 2018-2019 subscription series at theREP. Subscriptions for the 2018-2019 season are now closed, the 2019-2020 season will be announced in March 2019. Please <a href=""https://www.proctors.org/shows/subscription-18-19/"" target=""blank"">click here</a> to learn more about becoming a subscriber.</p> <p><strong>Have a question about HAMILTON? </strong><br/> <a href=""https://www.proctors.org/faq-hamilton/"" rel=""noopener"" target=""_blank"">Click here</a> for frequently asked questions.</p> <img alt="""" class=""alignnone wp-image-2360 size-large"" height=""226"" sizes=""(max-width: 680px) 100vw, 680px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2018/01/Hamilton-WebBannerFINAL-1024x341.jpg"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2018/01/Hamilton-WebBannerFINAL-1024x341.jpg 1024w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/Hamilton-WebBannerFINAL-300x100.jpg 300w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/Hamilton-WebBannerFINAL-768x256.jpg 768w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/Hamilton-WebBannerFINAL.jpg 1200w"" width=""680""/> <p>HAMILTON is the story of America’s Founding Father Alexander Hamilton, an immigrant from the West Indies who became George Washington’s right-hand man during the Revolutionary War and was the new nation’s first Treasury Secretary. Featuring a score that blends hip-hop, jazz, blues, rap, R&amp;B, and Broadway. HAMILTON is the story of America then, as told by America now.</p> <p>With book, music and lyrics by Lin-Manuel Miranda, direction by Thomas Kail, choreography by Andy Blankenbuehler and musical supervision and orchestrations by Alex Lacamoire, HAMILTON is based on Ron Chernow’s biography of Founding Father Alexander Hamilton.</p> <p>The Sunday, August 18th at 2 pm performance will feature a sign language interpreter. To request access to this section, please call our box office at 518.346.6204.</p> <h2>Special Events and Programs</h2> <p><a href=""https://school.proctors.org/theatretalks/"" rel=""noopener"" target=""_blank""><strong>Henry Schaffer TheatreTalks – August 15, 2019</strong></a><br/> Henry Schaffer TheatreTalks offer guests exclusive behind-the-scenes discussions with cast, crew and industry professionals! TheatreTalks are FREE and open to all ticket holders. Talk will follow the Thursday matinee performance starting at approximately 4 pm in the GE Theatre. Dates and times subject to change.</p> <p><strong>Apostrophe Café Thursday Matinee</strong><br/> Lunch – August 15, 2019<br/> <a href=""https://tickets.proctors.org/TheatreManager/95/online?performance=32869"">Click here</a> to pre-order your lunch for pick up at Apostrophe Café</p> </div>"
Golden Oldies Spectacular,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, April 13, 2019</span> </div>
<p>An amazing seven act Golden Oldies spectacular comes to Proctors on Saturday, April 13 at 7:00.</p>
<p>Coheadlining the show are <strong>The Duprees</strong>. Known worldwide for their romantic interpretations of beautiful love songs, they are a favorite with Proctors’ audiences. Hit include “You Belong to Me,” “My Own True Love,” “Why Don’t you Believe Me” and “Have you Heard.”</p>
<p>Also, coheadlining the show is Rock and Roll Hall of Famer, <strong>Charlie Thomas’ Drifters</strong>. The Drifters legendary sound combines rhythm and blues, doo-wop, rock and roll and soul-inspired beach music.</p>
<p>They had 14 top 30 hits, including #1 gold records “There Goes My Baby” and “Save the Last Dance for Me.” Other top ten hits included “This Magic Moment,” “Up on the Roof, “ “On Broadway, “ “Dance with Me,” “Under the Boardwalk” and “Saturday Night at the Movies.” Charlie’s tenor voice and charismatic stage performance continue to amaze audiences worldwide.</p>
<p><strong>The Marcels</strong> always bring Proctors’ crowd to their feet with their high-energy stage performance. Originating in Pittsburgh, they were one of the first bi=racial groups in rock. Their monster hit “Blue Moon” was #1 worldwide and sold more than 2.5 million copies. “Heartaches” was also a gold record, and they appeared in movies: “Twist Around the Clock” and “Bikini Beach” starring Annette Funicello and Frankie Avalon. Original member Walter Maddox still leads and manages the Marcels.</p>
<p><strong>The Capris</strong> make their Proctors debut. Hailing from the Italian-American community in Queens, they had a smash hit “There’s a Moon out Tonight.” Their second hit, “Morse code of Love, was redone in 1984 by Manhattan Transfer and became a big hit.</p>
<p><strong>The Del-Satins</strong> also make their Proctors debut. Renowned for their backup harmonies on Dion’s hit records, including “Runaround Sue” and “The Wanderer” and Len Barry’s hits, they combined with Johnny Maestro to form the Brooklyn Bridge. Founding member Stan Zizka continues to lead them.</p>
<p><strong>Jimmy Gallagher</strong>, former lead singer of the Passions, is known for his impassioned lead vocals on hits such as “Just to Be with You,” “I Only Want You” and “This is My Love.”</p>
<p>Last but certainly not least, <strong>Kid Kyle</strong> returns. He first performed at Proctors before he was a teenager, and he brought down the house. At age 8, Kyle was a contestant in American Idol Junior and has been featured on the Today show and Good Morning New York. Most recently, he appeared on T. J. Lubinsky’s recent PBS special “Doo Wop Generations” and continues to keep our music alive and well.</p>
<p>Seven grat acts all in one night of unforgettable music. Get your tickets now and thanks to Proctors loyal audience for keeping great music alive.</p>
</div>"
It's a Wonderful Life: Live from WVL Radio Theatre,"<div class=""content"">
<div class=""show-run"">
<span>Wednesday, December 19, 2018</span> </div>
<p>It’s Christmas Eve in 1945, and only a handful of WVL Radio’s actors have braved the blizzard to perform that evening’s broadcast of It’s a Wonderful Life and keep the station afloat. This clever stage adaptation breathes new life into the poignant story of George Bailey and Bedford Falls.</p>
<p>When Frank Capra and his co-writers were working on the original screenplay of It’s a Wonderful Life, the Great Depression was a vivid memory. The story of George Bailey and Bedford Falls is juxtaposed against a time of failing banks, devastatingly high unemployment and a shortage of affordable housing. The circumstances are eerily familiar, and over 60 years later, this story remains as fresh and relevant as ever. Its message of hope and optimism is the perfect antidote to holiday cynicism.</p>
<p>Run Time: 1 hour and 50 minutes, including a 15 min intermission</p>
</div>"
